,date,value
706,1964-02-01,3.48
707,1964-01-01,3.48
708,1963-12-01,3.38
709,1963-11-01,3.48
710,1963-10-01,3.50
711,1963-09-01,3.48
712,1963-08-01,3.49
713,1963-07-01,3.02
714,1963-06-01,2.99
715,1963-05-01,3.00
716,1963-04-01,2.90
717,1963-03-01,2.98
718,1963-02-01,3.00
719,1963-01-01,2.92
720,1962-12-01,2.93
721,1962-11-01,2.94
722,1962-10-01,2.90
723,1962-09-01,2.90
724,1962-08-01,2.93
725,1962-07-01,2.71
726,1962-06-01,2.68
727,1962-05-01,2.36
728,1962-04-01,2.78
729,1962-03-01,2.85
730,1962-02-01,2.37
731,1962-01-01,2.15
732,1961-12-01,2.33
733,1961-11-01,2.61
734,1961-10-01,2.26
735,1961-09-01,1.88
736,1961-08-01,2.00
737,1961-07-01,1.17
738,1961-06-01,1.73
739,1961-05-01,1.98
740,1961-04-01,1.49
741,1961-03-01,2.02
742,1961-02-01,2.54
743,1961-01-01,1.45
744,1960-12-01,1.98
745,1960-11-01,2.44
746,1960-10-01,2.47
747,1960-09-01,2.60
748,1960-08-01,2.98
749,1960-07-01,3.23
750,1960-06-01,3.32
751,1960-05-01,3.85
752,1960-04-01,3.92
753,1960-03-01,3.84
754,1960-02-01,3.97
755,1960-01-01,3.99
756,1959-12-01,3.99
757,1959-11-01,4.00
758,1959-10-01,3.98
759,1959-09-01,3.76
760,1959-08-01,3.50
761,1959-07-01,3.47
762,1959-06-01,3.39
763,1959-05-01,2.90
764,1959-04-01,2.96
765,1959-03-01,2.80
766,1959-02-01,2.43
767,1959-01-01,2.48
768,1958-12-01,2.42
769,1958-11-01,2.27
770,1958-10-01,1.80
771,1958-09-01,1.76
772,1958-08-01,1.53
773,1958-07-01,0.68
774,1958-06-01,0.93
775,1958-05-01,0.63
776,1958-04-01,1.26
777,1958-03-01,1.20
778,1958-02-01,1.67
779,1958-01-01,2.72
780,1957-12-01,2.98
781,1957-11-01,3.28
782,1957-10-01,3.50
783,1957-09-01,3.47
784,1957-08-01,3.24
785,1957-07-01,2.99
786,1957-06-01,3.00
787,1957-05-01,3.00
788,1957-04-01,3.00
789,1957-03-01,2.96
790,1957-02-01,3.00
791,1957-01-01,2.84
792,1956-12-01,2.94
793,1956-11-01,2.88
794,1956-10-01,2.96
795,1956-09-01,2.95
796,1956-08-01,2.73
797,1956-07-01,2.75
798,1956-06-01,2.71
799,1956-05-01,2.75
800,1956-04-01,2.62
801,1956-03-01,2.50
802,1956-02-01,2.50
803,1956-01-01,2.45
804,1955-12-01,2.48
805,1955-11-01,2.35
806,1955-10-01,2.24
807,1955-09-01,2.18
808,1955-08-01,1.96
809,1955-07-01,1.68
810,1955-06-01,1.64
811,1955-05-01,1.43
812,1955-04-01,1.43
813,1955-03-01,1.35
814,1955-02-01,1.29
815,1955-01-01,1.39
816,1954-12-01,1.28
817,1954-11-01,0.83
818,1954-10-01,0.85
819,1954-09-01,1.07
820,1954-08-01,1.22
821,1954-07-01,0.80
